geography,geo_type,sahie_year,fips,total_under_65,num_insured,num_uninsured,pct_uninsured,fetched_at,pct_insured
Tehama County,county,2010,06103,53162,41741,11421,21.5,2026-04-22T21:52:21.055022+00:00,78.5
Tehama County,county,2011,06103,53003,41767,11235,21.2,2026-04-22T21:52:22.763954+00:00,78.8
Tehama County,county,2012,06103,52394,41736,10658,20.3,2026-04-22T21:52:24.513091+00:00,79.7
Tehama County,county,2013,06103,51680,41707,9973,19.3,2026-04-22T21:52:26.130957+00:00,80.7
Tehama County,county,2014,06103,51317,44502,6815,13.3,2026-04-22T21:52:27.723971+00:00,86.7
Tehama County,county,2015,06103,51236,46502,4734,9.2,2026-04-22T21:52:29.510459+00:00,90.8
Tehama County,county,2016,06103,50753,46832,3921,7.7,2026-04-22T21:52:31.140515+00:00,92.3
Tehama County,county,2017,06103,50757,46789,3968,7.8,2026-04-22T21:52:33.729050+00:00,92.2
Tehama County,county,2018,06103,50558,46462,4096,8.1,2026-04-22T21:52:35.332228+00:00,91.9
Tehama County,county,2019,06103,51138,46690,4448,8.7,2026-04-22T21:52:36.923066+00:00,91.3
Tehama County,county,2020,06103,50399,46295,4104,8.1,2026-04-22T21:52:38.559361+00:00,91.9
Tehama County,county,2021,06103,51818,47853,3965,7.7,2026-04-22T21:52:41.230908+00:00,92.3
Tehama County,county,2022,06103,51552,47818,3734,7.2,2026-04-22T21:52:43.844322+00:00,92.8
Tehama County,county,2023,06103,51134,47573,3561,7.0,2026-04-22T21:52:46.458778+00:00,93.0
California,state,2010,06,32504288,25784009,6720279,20.7,2026-04-22T21:52:48.034489+00:00,79.3
California,state,2011,06,32714713,26111543,6603169,20.2,2026-04-22T21:52:49.596751+00:00,79.8
California,state,2012,06,32873177,26293099,6580078,20.0,2026-04-22T21:52:51.173713+00:00,80.0
California,state,2013,06,32867431,26499135,6368296,19.4,2026-04-22T21:52:52.824822+00:00,80.6
California,state,2014,06,33125759,28470657,4655102,14.1,2026-04-22T21:52:54.415173+00:00,85.9
California,state,2015,06,33271619,30037246,3234373,9.7,2026-04-22T21:52:55.991649+00:00,90.3
California,state,2016,06,33261678,30474373,2787305,8.4,2026-04-22T21:52:57.601714+00:00,91.6
California,state,2017,06,33386271,30646193,2740078,8.2,2026-04-22T21:52:59.179073+00:00,91.8
California,state,2018,06,33237743,30465099,2772644,8.3,2026-04-22T21:53:00.781050+00:00,91.7
California,state,2019,06,33001617,30053660,2947957,8.9,2026-04-22T21:53:02.372065+00:00,91.1
California,state,2020,06,33073406,30371373,2702033,8.2,2026-04-22T21:53:03.914640+00:00,91.8
California,state,2021,06,32728121,30088120,2640001,8.1,2026-04-22T21:53:05.510962+00:00,91.9
California,state,2022,06,32345141,29914684,2430457,7.5,2026-04-22T21:53:07.069221+00:00,92.5
California,state,2023,06,32104842,29707118,2397724,7.5,2026-04-22T21:53:08.803487+00:00,92.5
United States,nation,2010,US,262403380,215846577,46556803,17.7,2026-04-22T21:53:11.505565+00:00,82.3
United States,nation,2011,US,263691940,217966405,45725535,17.3,2026-04-22T21:53:14.074147+00:00,82.7
United States,nation,2012,US,264246235,219286189,44960046,17.0,2026-04-22T21:53:15.642480+00:00,83.0
United States,nation,2013,US,264843216,220365246,44477970,16.8,2026-04-22T21:53:17.237971+00:00,83.2
United States,nation,2014,US,265987110,229973140,36013970,13.5,2026-04-22T21:53:18.800353+00:00,86.5
United States,nation,2015,US,267039414,237874187,29165227,10.9,2026-04-22T21:53:20.389723+00:00,89.1
United States,nation,2016,US,267259921,240510253,26749668,10.0,2026-04-22T21:53:21.951828+00:00,90.0
United States,nation,2017,US,268241109,240817624,27423485,10.2,2026-04-22T21:53:23.547445+00:00,89.8
United States,nation,2018,US,268046715,240092386,27954329,10.4,2026-04-22T21:53:25.114962+00:00,89.6
United States,nation,2019,US,267336463,238355740,28980723,10.8,2026-04-22T21:53:26.685348+00:00,89.2
United States,nation,2020,US,267068505,239173287,27895218,10.4,2026-04-22T21:53:28.244397+00:00,89.6
United States,nation,2021,US,269431290,241872377,27558913,10.2,2026-04-22T21:53:29.812433+00:00,89.8
United States,nation,2022,US,269100387,243405665,25694722,9.5,2026-04-22T21:53:32.507461+00:00,90.5
United States,nation,2023,US,269185221,243728120,25457101,9.5,2026-04-22T21:53:34.038330+00:00,90.5
