geography,geo_type,cbp_year,fips,total_employment,employer_establishments,fetched_at
Tehama County,county,2012,06103,11095,975,2026-04-22T23:44:07.706945+00:00
Tehama County,county,2013,06103,11381,956,2026-04-22T23:44:09.368622+00:00
Tehama County,county,2014,06103,11723,958,2026-04-22T23:44:11.030342+00:00
Tehama County,county,2015,06103,12306,981,2026-04-22T23:44:12.674128+00:00
Tehama County,county,2016,06103,12628,975,2026-04-22T23:44:14.289622+00:00
Tehama County,county,2017,06103,12305,976,2026-04-22T23:44:15.887864+00:00
Tehama County,county,2018,06103,12513,967,2026-04-22T23:44:20.655965+00:00
Tehama County,county,2019,06103,13098,994,2026-04-22T23:44:22.248217+00:00
Tehama County,county,2020,06103,13429,982,2026-04-22T23:44:24.040551+00:00
Tehama County,county,2021,06103,13123,1009,2026-04-22T23:44:25.774546+00:00
Tehama County,county,2022,06103,13746,1017,2026-04-22T23:44:27.399178+00:00
Tehama County,county,2023,06103,13620,999,2026-04-22T23:44:28.965946+00:00
