geography,geo_type,sahie_year,fips,total_under_65,num_insured,num_uninsured,pct_uninsured,fetched_at,pct_insured
Tehama County,county,2010,06103,53162,41741,11421,21.5,2026-04-22T23:42:24.527225+00:00,78.5
Tehama County,county,2011,06103,53003,41767,11235,21.2,2026-04-22T23:42:26.185006+00:00,78.8
Tehama County,county,2012,06103,52394,41736,10658,20.3,2026-04-22T23:42:27.854767+00:00,79.7
Tehama County,county,2013,06103,51680,41707,9973,19.3,2026-04-22T23:42:29.508965+00:00,80.7
Tehama County,county,2014,06103,51317,44502,6815,13.3,2026-04-22T23:42:31.277209+00:00,86.7
Tehama County,county,2015,06103,51236,46502,4734,9.2,2026-04-22T23:42:32.920330+00:00,90.8
Tehama County,county,2016,06103,50753,46832,3921,7.7,2026-04-22T23:42:34.550547+00:00,92.3
Tehama County,county,2017,06103,50757,46789,3968,7.8,2026-04-22T23:42:36.296442+00:00,92.2
Tehama County,county,2018,06103,50558,46462,4096,8.1,2026-04-22T23:42:38.163280+00:00,91.9
Tehama County,county,2019,06103,51138,46690,4448,8.7,2026-04-22T23:42:39.753839+00:00,91.3
Tehama County,county,2020,06103,50399,46295,4104,8.1,2026-04-22T23:42:41.361263+00:00,91.9
Tehama County,county,2021,06103,51818,47853,3965,7.7,2026-04-22T23:42:43.118797+00:00,92.3
Tehama County,county,2022,06103,51552,47818,3734,7.2,2026-04-22T23:42:44.930373+00:00,92.8
Tehama County,county,2023,06103,51134,47573,3561,7.0,2026-04-22T23:42:46.621405+00:00,93.0
California,state,2010,06,32504288,25784009,6720279,20.7,2026-04-22T23:42:48.246571+00:00,79.3
California,state,2011,06,32714713,26111543,6603169,20.2,2026-04-22T23:42:49.946855+00:00,79.8
California,state,2012,06,32873177,26293099,6580078,20.0,2026-04-22T23:42:51.529998+00:00,80.0
California,state,2013,06,32867431,26499135,6368296,19.4,2026-04-22T23:42:53.140721+00:00,80.6
California,state,2014,06,33125759,28470657,4655102,14.1,2026-04-22T23:42:54.717656+00:00,85.9
California,state,2015,06,33271619,30037246,3234373,9.7,2026-04-22T23:42:56.283186+00:00,90.3
California,state,2016,06,33261678,30474373,2787305,8.4,2026-04-22T23:42:57.966954+00:00,91.6
California,state,2017,06,33386271,30646193,2740078,8.2,2026-04-22T23:42:59.598090+00:00,91.8
California,state,2018,06,33237743,30465099,2772644,8.3,2026-04-22T23:43:01.206855+00:00,91.7
California,state,2019,06,33001617,30053660,2947957,8.9,2026-04-22T23:43:02.815316+00:00,91.1
California,state,2020,06,33073406,30371373,2702033,8.2,2026-04-22T23:43:04.419562+00:00,91.8
California,state,2021,06,32728121,30088120,2640001,8.1,2026-04-22T23:43:06.006918+00:00,91.9
California,state,2022,06,32345141,29914684,2430457,7.5,2026-04-22T23:43:07.606825+00:00,92.5
California,state,2023,06,32104842,29707118,2397724,7.5,2026-04-22T23:43:09.194607+00:00,92.5
United States,nation,2010,US,262403380,215846577,46556803,17.7,2026-04-22T23:43:10.771680+00:00,82.3
United States,nation,2011,US,263691940,217966405,45725535,17.3,2026-04-22T23:43:12.383136+00:00,82.7
United States,nation,2012,US,264246235,219286189,44960046,17.0,2026-04-22T23:43:13.952263+00:00,83.0
United States,nation,2013,US,264843216,220365246,44477970,16.8,2026-04-22T23:43:15.553805+00:00,83.2
United States,nation,2014,US,265987110,229973140,36013970,13.5,2026-04-22T23:43:17.137922+00:00,86.5
United States,nation,2015,US,267039414,237874187,29165227,10.9,2026-04-22T23:43:18.703827+00:00,89.1
United States,nation,2016,US,267259921,240510253,26749668,10.0,2026-04-22T23:43:20.291954+00:00,90.0
United States,nation,2017,US,268241109,240817624,27423485,10.2,2026-04-22T23:43:21.855217+00:00,89.8
United States,nation,2018,US,268046715,240092386,27954329,10.4,2026-04-22T23:43:23.404061+00:00,89.6
United States,nation,2019,US,267336463,238355740,28980723,10.8,2026-04-22T23:43:25.041311+00:00,89.2
United States,nation,2020,US,267068505,239173287,27895218,10.4,2026-04-22T23:43:26.636470+00:00,89.6
United States,nation,2021,US,269431290,241872377,27558913,10.2,2026-04-22T23:43:28.235307+00:00,89.8
United States,nation,2022,US,269100387,243405665,25694722,9.5,2026-04-22T23:43:29.834539+00:00,90.5
United States,nation,2023,US,269185221,243728120,25457101,9.5,2026-04-22T23:43:31.418164+00:00,90.5
